Copies,Name,Kind,Cost,Range,Power,Speed,Armor,Guard,Description,Boost Type,Cancel,Boost,Boost Name
,Slayer,Innate,3,,,,,,"When you initiate a Strike,
you may Advance 1.",,FALSE,,
,Slayer,Exceed,,,,,,,"When you initiate a Strike,
you may Advance 1. If you Advanced
past the opponent, +2 Guard.",,FALSE,,
,Super Mappa Hunch,Ultra,2,1-5,3,2,,3,"""Show me your dandyism!""
HIT, RANGE 4: +2 Power.
HIT: Push 2.
AFTER: Advance 5.",Continuous,FALSE,"+1 Power. +2 Guard.
BEFORE: Advance 1.",DANDYISM
,Last Horizon,Ultra,5,1,13,0,,4,"""My lovely wife is waiting...
Let's make this quick.""
BEFORE: Close 1.
HIT: Push 2.",Continuous,TRUE,"Whenever you Advance past the
opponent during a Strike (including
""when you initiate""), +1 Power.",UPS AND DOWNS
,Mappa Hunch,Special,,1,2,6,,,"BEFORE: Close 3; if you Closed fewer
than 2 spaces, +1 Power.",Continuous,TRUE,"NOW: You may Retreat 2.
BEFORE: Advance 3. If you Advanced
past the opponent, +1 Guard.",DANDY STEP
,Bloodsucking Universe,Special,,1,3,5,,1,"HIT: Heal 1.
AFTER: If you hit, you may play this
as its Boost and sustain it.",Continuous,FALSE,"+2 Power.
NOW: Draw 1.",UNIVERSE!
,Bump Ahead,Special,,1-2,4,4,,2,"If you initiated, +1 Speed.
BEFORE: Advance 1. If you Advanced
past the opponent, draw 1.",Instant,TRUE,"Advance or Retreat 1.
Draw 1.",TELEPORT DASH
,It's Late,Special,,1-2,5,3,,2,"Ignore Guard.
BEFORE: Advance 1. If you Advanced
past the opponent, Ignore Armor.",Instant,FALSE,"Pull 1 or 2. If the opponent was
pulled past you, Strike.",VACUUM
,Pilebunker,Special,,1,6,2,,3,"BEFORE: Advance 1. If you Advanced
past the opponent, +2 Power.",Continuous,TRUE,"NOW: Add a card from your hand
to your Gauge.
HIT: Gain Advantage.",HAIKU
,Master's Hammer,Special,,1,3,1,,3,"BEFORE: Advance 1 twice. If you
Advanced past the opponent,
this has ""HIT: Gain Advantage.""",Continuous,FALSE,"+1 Armor. +2 Guard.
NOW: Spend up to 2 Force.
For each Force spent, draw 2.",HAND OF DOOM
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
,,,,,,,,,,,FALSE,,
